country,countryLabel,capital,capitalLabel,flag,popolation,surface,unicode,map,linkcount
http://www.wikidata.org/entity/Q1028,Morocco,http://www.wikidata.org/entity/Q3551,Rabat,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Morocco.svg,36029138,446550,🇲🇦,http://commons.wikimedia.org/wiki/Special:FilePath/Morocco%20WS-excluded%20%28orthographic%20projection%29.svg,271
http://www.wikidata.org/entity/Q1028,Morocco,http://www.wikidata.org/entity/Q3551,Rabat,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Morocco.svg,36029138,446550,🇲🇦,http://commons.wikimedia.org/wiki/Special:FilePath/Morocco%20WS-included%20%28orthographic%20projection%29.svg,271
http://www.wikidata.org/entity/Q736,Ecuador,http://www.wikidata.org/entity/Q2900,Quito,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Ecuador.svg,16624858,283560,🇪🇨,http://commons.wikimedia.org/wiki/Special:FilePath/ECU%20orthographic.svg,270
http://www.wikidata.org/entity/Q736,Ecuador,http://www.wikidata.org/entity/Q2900,Quito,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Ecuador.svg,16624858,283560,🇪🇨,http://commons.wikimedia.org/wiki/Special:FilePath/LocationEcuador.svg,270
http://www.wikidata.org/entity/Q819,Laos,http://www.wikidata.org/entity/Q9326,Vientiane,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Laos.svg,6858160,236800,🇱🇦,http://commons.wikimedia.org/wiki/Special:FilePath/Laos%20on%20the%20globe%20%28Asia%20centered%29.svg,269
http://www.wikidata.org/entity/Q750,Bolivia,http://www.wikidata.org/entity/Q1491,La Paz,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Bolivia.svg,11051600,1098581,🇧🇴,http://commons.wikimedia.org/wiki/Special:FilePath/BOL%20orthographic.svg,269
http://www.wikidata.org/entity/Q750,Bolivia,http://www.wikidata.org/entity/Q2907,Sucre,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Bolivia.svg,11051600,1098581,🇧🇴,http://commons.wikimedia.org/wiki/Special:FilePath/BOL%20orthographic.svg,269
http://www.wikidata.org/entity/Q750,Bolivia,http://www.wikidata.org/entity/Q1491,La Paz,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Bolivia.svg,11051600,1098581,🇧🇴,http://commons.wikimedia.org/wiki/Special:FilePath/LocationBolivia.svg,269
http://www.wikidata.org/entity/Q750,Bolivia,http://www.wikidata.org/entity/Q2907,Sucre,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Bolivia.svg,11051600,1098581,🇧🇴,http://commons.wikimedia.org/wiki/Special:FilePath/LocationBolivia.svg,269
http://www.wikidata.org/entity/Q805,Yemen,http://www.wikidata.org/entity/Q2471,Sana'a,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Yemen.svg,28250420,555000,🇾🇪,http://commons.wikimedia.org/wiki/Special:FilePath/Yemen%20%28orthographic%20projection%29.svg,269
http://www.wikidata.org/entity/Q805,Yemen,http://www.wikidata.org/entity/Q131694,Aden,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Yemen.svg,28250420,555000,🇾🇪,http://commons.wikimedia.org/wiki/Special:FilePath/Yemen%20%28orthographic%20projection%29.svg,269
http://www.wikidata.org/entity/Q836,Myanmar,http://www.wikidata.org/entity/Q37400,Naypyidaw,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Myanmar.svg,53370609,676577.2,🇲🇲,http://commons.wikimedia.org/wiki/Special:FilePath/Myanmar%20on%20the%20globe%20%28Myanmar%20centered%29.svg,268
http://www.wikidata.org/entity/Q1019,Madagascar,http://www.wikidata.org/entity/Q3915,Antananarivo,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Madagascar.svg,25570895,587295,🇲🇬,http://commons.wikimedia.org/wiki/Special:FilePath/LocationMadagascar.svg,268
http://www.wikidata.org/entity/Q1019,Madagascar,http://www.wikidata.org/entity/Q3915,Antananarivo,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Madagascar.svg,25570895,587295,🇲🇬,http://commons.wikimedia.org/wiki/Special:FilePath/MDG%20orthographic.svg,268
